Hill Climber,Cost,Iteration,Duration
TimeSlotSwapRandom,974,1,4.91
TimeSlotSwapRandom,944,1,4.91
TimeSlotSwapCapacity,1148,1,4.91
SwapBadTimeslots_GapHour,1269,1,4.91
TimeSlotSwapRandom,841,2,10.13
TimeSlotSwapRandom,816,2,10.13
TimeSlotSwapCapacity,899,2,10.13
SwapBadTimeslots_GapHour,938,2,10.13
TimeSlotSwapRandom,705,3,15.32
TimeSlotSwapRandom,745,3,15.32
TimeSlotSwapCapacity,784,3,15.32
SwapBadTimeslots_GapHour,797,3,15.32
TimeSlotSwapRandom,632,4,20.34
TimeSlotSwapRandom,647,4,20.34
TimeSlotSwapCapacity,661,4,20.34
SwapBadTimeslots_GapHour,698,4,20.34
TimeSlotSwapRandom,614,5,26.06
TimeSlotSwapRandom,586,5,26.06
TimeSlotSwapCapacity,612,5,26.06
SwapBadTimeslots_GapHour,631,5,26.06
TimeSlotSwapRandom,537,6,31.25
TimeSlotSwapRandom,534,6,31.25
TimeSlotSwapCapacity,578,6,31.25
SwapBadTimeslots_GapHour,578,6,31.25
TimeSlotSwapRandom,510,7,36.49
TimeSlotSwapRandom,490,7,36.49
TimeSlotSwapCapacity,521,7,36.49
SwapBadTimeslots_GapHour,530,7,36.49
TimeSlotSwapRandom,477,8,41.93
TimeSlotSwapRandom,478,8,41.93
TimeSlotSwapCapacity,481,8,41.93
SwapBadTimeslots_GapHour,491,8,41.93
TimeSlotSwapRandom,453,9,47.25
TimeSlotSwapRandom,475,9,47.25
TimeSlotSwapCapacity,476,9,47.25
SwapBadTimeslots_GapHour,481,9,47.25
TimeSlotSwapRandom,444,10,52.83
TimeSlotSwapRandom,435,10,52.83
TimeSlotSwapCapacity,448,10,52.83
SwapBadTimeslots_GapHour,445,10,52.83
