Schedule Index,Duration,Cost
0,1.6689300537109375e-06,122
0,136.25129294395447,119
1,136.25424480438232,120
2,136.2542588710785,122
3,136.2542610168457,120
0,276.7064938545227,117
1,276.70948362350464,115
2,276.7112786769867,114
3,276.713161945343,113
0,430.2477729320526,103
1,430.2513747215271,109
2,430.2513837814331,108
3,430.2513847351074,111
0,573.4685418605804,103
1,573.4685578346252,105
2,573.4685597419739,103
3,573.4685618877411,104
0,714.8715877532959,105
1,714.8715999126434,102
2,714.8742897510529,104
3,714.8743009567261,103
0,833.1454789638519,102
1,833.1454887390137,102
2,833.1454899311066,106
3,833.1454908847809,101
0,961.9817569255829,102
1,961.9817769527435,102
2,961.9817788600922,104
3,961.9817810058594,103
0,1120.2731547355652,101
1,1120.2731647491455,102
2,1120.2731668949127,105
3,1120.2731668949127,103
0,1279.8093619346619,102
1,1279.809376001358,101
2,1279.809377670288,104
3,1279.8093798160553,100
0,1410.1042597293854,103
1,1410.104279756546,98
2,1410.10746383667,102
3,1410.1074848175049,100
0,1527.1333057880402,99
1,1527.1333236694336,99
2,1527.1333258152008,99
3,1527.1333289146423,100
0,1650.188060760498,101
1,1650.188069820404,98
2,1650.1880707740784,105
3,1650.1880719661713,104
0,1752.0744409561157,101
1,1752.0744557380676,100
2,1752.0744578838348,99
3,1752.0744588375092,99
0,1860.2063167095184,104
1,1860.2063307762146,103
2,1860.2063329219818,103
3,1860.2063338756561,106
0,1958.8398258686066,103
1,1958.8398389816284,103
2,1958.8398399353027,103
3,1958.8398406505585,104
0,2057.7730119228363,105
1,2057.773027896881,104
2,2057.7730298042297,103
3,2057.773030757904,103
0,2157.538353919983,103
1,2157.538375854492,108
2,2157.5383789539337,104
3,2157.5383806228638,103
0,2256.8028378486633,104
1,2256.8028507232666,102
2,2256.802852869034,107
3,2256.8028547763824,106
0,2352.8983087539673,108
1,2352.8983266353607,105
2,2352.898328781128,106
3,2352.898330926895,104
0,2451.3333818912506,105
1,2451.3333978652954,104
2,2451.333399772644,101
3,2451.3334016799927,103
0,2548.9875338077545,103
1,2548.987548828125,104
2,2548.987550973892,102
3,2548.9875519275665,102
0,2645.304522037506,103
1,2645.304544687271,102
2,2645.3045477867126,104
3,2645.30454993248,109
0,2759.711843729019,106
1,2759.711870908737,103
2,2759.71187376976,101
3,2759.7118768692017,105
